,"0,0001","0,0005","0,001","0,005","0,01","0,02","0,05","0,1","0,15","0,2","0,3","0,4"
1,"0,0001","0,0005","0,001","0,005","0,01","0,02","0,05","0,1","0,15","0,2","0,3","0,4"
2,"0,0142","0,0319","0,0452","0,1025","0,1465","0,2103","0,3422","0,5","0,6278","0,7403","0,939","1,117"
3,"0,086","0,149","0,1894","0,3339","0,4291","0,5545","0,7876","1,04","1,231","1,393","1,667","1,903"
4,"0,231","0,3533","0,4257","0,6641","0,81","0,9939","1,319","1,653","1,899","2,102","2,44","2,725"
5,"0,4428","0,6289","0,7342","1,065","1,259","1,497","1,905","2,313","2,607","2,847","3,241","3,569"
6,"0,711","0,9616","1,099","1,519","1,758","2,047","2,532","3,007","3,344","3,617","4,062","4,428"
7,"1,026","1,341","1,51","2,014","2,297","2,633","3,188","3,725","4,103","4,406","4,897","5,298"
8,"1,382","1,758","1,958","2,543","2,866","3,246","3,869","4,463","4,878","5,21","5,744","6,178"
9,"1,771","2,208","2,436","3,1","3,46","3,883","4,569","5,218","5,668","6,027","6,6","7,065"
10,"2,189","2,685","2,942","3,679","4,077","4,54","5,285","5,986","6,469","6,853","7,465","7,959"
11,"2,634","3,186","3,47","4,279","4,712","5,213","6,015","6,765","7,28","7,688","8,336","8,857"
12,"3,1","3,708","4,018","4,896","5,363","5,901","6,758","7,554","8,099","8,53","9,212","9,761"
13,"3,587","4,248","4,584","5,529","6,028","6,602","7,511","8,352","8,926","9,379","10,09","10,67"
14,"4,092","4,805","5,166","6,175","6,705","7,313","8,273","9,158","9,76","10,23","10,98","11,58"
15,"4,614","5,377","5,762","6,833","7,394","8,035","9,044","9,97","10,6","11,09","11,87","12,49"
16,"5,15","5,962","6,371","7,502","8,093","8,766","9,822","10,79","11,44","11,96","12,77","13,41"
17,"5,699","6,56","6,991","8,182","8,801","9,505","10,61","11,61","12,29","12,83","13,66","14,33"
18,"6,261","7,169","7,622","8,871","9,518","10,25","11,4","12,44","13,15","13,7","14,56","15,25"
19,"6,835","7,788","8,263","9,568","10,24","11,01","12,2","13,28","14,01","14,58","15,47","16,18"
20,"7,419","8,417","8,914","10,27","10,97","11,77",13,"14,12","14,87","15,45","16,37","17,1"
21,"8,013","9,055","9,572","10,99","11,71","12,53","13,81","14,96","15,73","16,34","17,28","18,03"
22,"8,616","9,702","10,24","11,7","12,46","13,3","14,62","15,81","16,6","17,22","18,19","18,96"
23,"9,228","10,36","10,91","12,43","13,21","14,08","15,43","16,65","17,47","18,11","19,1","19,89"
24,"9,848","11,02","11,59","13,16","13,96","14,86","16,25","17,51","18,35",19,"20,02","20,82"
25,"10,48","11,69","12,28","13,9","14,72","15,65","17,08","18,36","19,22","19,89","20,93","21,76"
26,"11,11","12,36","12,97","14,64","15,49","16,44","17,91","19,22","20,1","20,79","21,85","22,69"
27,"11,75","13,04","13,67","15,38","16,26","17,23","18,74","20,08","20,98","21,68","22,77","23,63"
28,"12,4","13,73","14,38","16,14","17,03","18,03","19,57","20,95","21,87","22,58","23,69","24,57"
29,"13,05","14,42","15,09","16,89","17,81","18,83","20,41","21,82","22,75","23,48","24,61","25,5"
30,"13,71","15,12","15,8","17,65","18,59","19,64","21,25","22,68","23,64","24,38","25,54","26,44"
